City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
289,Kununurra,AU,-15.7667,128.7333,69.78,78,14,2.3,few clouds
290,Talnakh,RU,69.4865,88.3972,1.2,98,100,3.53,overcast clouds
291,Codrington,AU,-38.2667,141.9667,62.28,76,40,10.29,scattered clouds
292,Nyurba,RU,63.2842,118.3319,3.69,100,79,1.52,broken clouds
293,Eydhafushi,MV,5.1033,73.0708,84.4,71,81,10.18,broken clouds
294,Iqaluit,CA,63.7506,-68.5145,19.13,79,100,5.75,light snow
295,Taos,US,36.4072,-105.5731,56.21,23,0,0.0,clear sky
296,Xudat,AZ,41.631,48.681,50.38,81,54,3.91,broken clouds
297,Santa Maria Del Oro,MX,25.9333,-105.3667,69.55,24,46,5.17,scattered clouds
298,Sao Joao Da Barra,BR,-21.6403,-41.0511,86.09,74,83,8.08,broken clouds
299,Puerto Escondido,MX,15.85,-97.0667,83.23,78,0,0.0,clear sky
300,Dauphin,CA,51.1494,-100.0502,44.74,39,100,5.75,overcast clouds
301,Auburndale,US,28.0653,-81.7887,69.71,39,20,9.22,few clouds
302,Channel-Port Aux Basques,CA,47.5702,-59.1367,36.05,98,100,23.42,overcast clouds
303,Klaksvik,FO,62.2266,-6.589,36.52,59,100,14.65,overcast clouds
304,Siderno,IT,38.2779,16.302,65.34,58,78,12.28,broken clouds
305,Cabedelo,BR,-6.9811,-34.8339,86.67,71,56,14.58,broken clouds
306,Crateus,BR,-5.1783,-40.6775,78.21,75,100,3.62,overcast clouds
307,Grand Gaube,MU,-20.0064,57.6608,79.2,81,3,3.0,clear sky
308,Kota Kinabalu,MY,5.9749,116.0724,75.18,94,40,18.41,scattered clouds
309,Saint George,US,37.1041,-113.5841,55.99,22,0,0.0,clear sky
310,Cururupu,BR,-1.8283,-44.8683,76.89,95,100,5.01,moderate rain
311,Hengyang,CN,26.8881,112.615,72.52,54,55,3.51,broken clouds
312,Tasiilaq,GL,65.6145,-37.6368,28.56,83,100,2.64,overcast clouds
313,Los Llanos De Aridane,ES,28.6585,-17.9182,64.13,81,75,4.61,broken clouds
314,Shakhtinsk,KZ,49.71,72.5872,44.67,57,76,11.43,broken clouds
315,Ilo,PE,-17.6394,-71.3375,72.46,64,0,6.91,clear sky
316,Santa Luzia,BR,-19.7697,-43.8514,86.14,61,20,9.22,few clouds
317,Ilulissat,GL,69.2167,-51.1,13.15,82,95,1.1,overcast clouds
318,Sao Felix Do Xingu,BR,-6.6447,-51.995,87.51,59,98,2.06,heavy intensity rain
319,Invermere,CA,50.5167,-116.0354,39.36,70,90,1.14,overcast clouds
320,Fengzhen,CN,40.4394,113.1536,59.59,21,85,5.08,overcast clouds
321,Belaya Gora,RU,68.5333,146.4167,-25.92,100,16,2.86,few clouds
322,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,85.23,77,96,4.07,overcast clouds
323,Haines Junction,CA,60.7522,-137.5108,24.75,80,100,9.22,overcast clouds
324,Yar-Sale,RU,66.8333,70.8333,4.42,96,100,3.49,overcast clouds
