City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
631,Japura,ID,74.79,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
632,Sechura,PE,75.78,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
634,Boueni,YT,80.58,broken clouds,-12.9025,45.0761,The feet in water
636,Hun,LY,83.71,few clouds,29.1268,15.9477,Alrwasi Hotel
637,Huarmey,PE,73.56,broken clouds,-10.0681,-78.1522,Hotel Miramar
639,Payo,ID,73.08,overcast clouds,-3.7508,103.6372,Mess keban agung
641,Kathu,TH,87.69,scattered clouds,7.9178,98.3332,Novotel Phuket Resort
642,Porto Novo,BJ,82.22,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
646,Susangerd,IR,86.5,scattered clouds,31.5608,48.1831,دفتر خدمات هوایی وجهانگردی نسیم گستر دشت آزادگان
647,Weligama,LK,78.24,scattered clouds,5.9667,80.4167,Weligama Bay Resort
648,Rioblanco,CO,72.46,overcast clouds,3.5308,-75.6806,hotel en tolima colombia
649,Kulhudhuffushi,MV,85.32,overcast clouds,6.6221,73.07,Haajy Guest House 1
654,Dilla,ET,74.07,light rain,6.41,38.31,Afomiya Pension
655,Valle Hermoso,MX,78.66,clear sky,25.6667,-97.8333,MAQUINARIA Y TRANSPORTE DE CARGA
659,Kalmunai,LK,80.08,moderate rain,7.4167,81.8167,VS Villa
662,Gorontalo,ID,75.7,broken clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
663,Takoradi,GH,85.51,overcast clouds,4.8845,-1.7554,Raybow International Hotel
668,Kiunga,PG,73.18,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
669,Tautira,PF,80.19,light rain,-17.7333,-149.15,Pension Oaoa
671,Emerald,AU,71.74,clear sky,-23.5333,148.1667,The Irish Village
672,Bima,ID,75.69,clear sky,-8.4667,118.7167,Lambitu Hotel
676,Santa Cruz,BO,85.46,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
681,Menongue,AO,73.35,broken clouds,-14.6585,17.691,Ritz Lauca
